harm_type,n_nc,explicit_nc,implicit_nc,apology,hedge,explanatory_preface,positive_alignment,solidarity,negative_stance,normative_suggestion,statement_of_principle,alternative_offer,executed_alternative,role_based
Child Sexual Exploitation,340,0.95,0.05,0.25882352941176473,0,0.0058823529411764705,0.008823529411764706,0.14705882352941177,0.6264705882352941,0.18823529411764706,0.052941176470588235,0.5676470588235294,0.2911764705882353,0.07647058823529412
Sex-Related Crimes,296,0.9695945945945946,0.030405405405405407,0.27364864864864863,0,0.010135135135135136,0.02027027027027027,0.20608108108108109,0.652027027027027,0.34797297297297297,0.060810810810810814,0.5371621621621622,0.28040540540540543,0.06418918918918919
Sexual Content,327,0.9480122324159022,0.05198776758409786,0.27522935779816515,0,0.01529051987767584,0.03058103975535168,0.05504587155963303,0.42507645259938837,0.25076452599388377,0.05504587155963303,0.6666666666666666,0.16819571865443425,0.07033639143730887
Violent Crimes,218,0.9403669724770642,0.05963302752293578,0.22935779816513763,0,0.03211009174311927,0.013761467889908258,0.10091743119266056,0.6880733944954128,0.3119266055045872,0.0871559633027523,0.6055045871559633,0.22477064220183487,0.0779816513761468
Indiscriminate Weapons,112,0.9285714285714286,0.07142857142857142,0.25,0,0.03571428571428571,0.03571428571428571,0.11607142857142858,0.5892857142857143,0.24107142857142858,0.0625,0.44642857142857145,0.375,0.05357142857142857
