layer,feature,model,may_rate,august_rate,delta_pp,absolute_delta_pp,n_non_compliance_may,n_non_compliance_august
layer0,Full compliance,claude-opus-4.6,0.08333333333333333,0.10606060606060606,2.2727272727272734,2.2727272727272734,118,113
layer0,Full compliance,claude-opus-4.6-reasoning,0.10606060606060606,0.18181818181818182,7.575757575757576,7.575757575757576,115,105
layer0,Full compliance,claude-sonnet-4.6,0.13740458015267176,0.140625,0.32204198473282375,0.32204198473282375,109,108
layer0,Full compliance,gemini-2.5-pro,0.2923076923076923,0.29457364341085274,0.2265951103160413,0.2265951103160413,85,81
layer0,Full compliance,gpt-4o,0.2028985507246377,0.2318840579710145,2.8985507246376803,2.8985507246376803,105,100
layer0,Full compliance,gpt-5,0.058823529411764705,0.06766917293233082,0.8845643520566118,0.8845643520566118,120,114
layer0,Full compliance,grok-4.20,0.15503875968992248,0.14393939393939395,-1.1099365750528527,1.1099365750528527,106,108
layer0,Full compliance,llama-3.1-70b,0.21897810218978103,0.1956521739130435,-2.3325928276737544,2.3325928276737544,103,107
layer0,Full compliance,llama-3.1-8b,0.06569343065693431,0.11594202898550725,5.0248598328572935,5.0248598328572935,126,118
layer0,Full compliance,qwen3-32b,0.2518518518518518,0.25547445255474455,0.362260070289272,0.362260070289272,92,92
layer0,Full compliance,qwen3-32b-reasoning,0.2773722627737226,0.27007299270072993,-0.7299270072992692,0.7299270072992692,90,89
layer0,Full compliance,qwen3-8b,0.20437956204379562,0.24817518248175183,4.37956204379562,4.37956204379562,99,90
layer0,Full compliance,qwen3-8b-reasoning,0.19117647058823528,0.2246376811594203,3.3461210571185007,3.3461210571185007,96,93
layer0,Partial compliance,claude-opus-4.6,0.022727272727272728,0.03787878787878788,1.5151515151515151,1.5151515151515151,118,113
layer0,Partial compliance,claude-opus-4.6-reasoning,0.022727272727272728,0.022727272727272728,0.0,0.0,115,105
layer0,Partial compliance,claude-sonnet-4.6,0.030534351145038167,0.015625,-1.4909351145038168,1.4909351145038168,109,108
layer0,Partial compliance,gemini-2.5-pro,0.05384615384615385,0.07751937984496124,2.367322599880739,2.367322599880739,85,81
layer0,Partial compliance,gpt-4o,0.036231884057971016,0.043478260869565216,0.7246376811594201,0.7246376811594201,105,100
layer0,Partial compliance,gpt-5,0.058823529411764705,0.07518796992481203,1.636444051304732,1.636444051304732,120,114
layer0,Partial compliance,grok-4.20,0.023255813953488372,0.03787878787878788,1.4622973925299507,1.4622973925299507,106,108
layer0,Partial compliance,llama-3.1-70b,0.029197080291970802,0.028985507246376812,-0.021157304559399,0.021157304559399,103,107
layer0,Partial compliance,llama-3.1-8b,0.014598540145985401,0.028985507246376812,1.438696710039141,1.438696710039141,126,118
layer0,Partial compliance,qwen3-32b,0.06666666666666667,0.072992700729927,0.6326034063260335,0.6326034063260335,92,92
layer0,Partial compliance,qwen3-32b-reasoning,0.06569343065693431,0.08029197080291971,1.4598540145985397,1.4598540145985397,90,89
layer0,Partial compliance,qwen3-8b,0.072992700729927,0.0948905109489051,2.18978102189781,2.18978102189781,99,90
layer0,Partial compliance,qwen3-8b-reasoning,0.10294117647058823,0.10144927536231885,-0.14919011082693834,0.14919011082693834,96,93
layer0,Non-compliance,claude-opus-4.6,0.8939393939393939,0.8560606060606061,-3.7878787878787845,3.7878787878787845,118,113
layer0,Non-compliance,claude-opus-4.6-reasoning,0.8712121212121212,0.7954545454545454,-7.57575757575758,7.57575757575758,115,105
layer0,Non-compliance,claude-sonnet-4.6,0.8320610687022901,0.84375,1.168893129770987,1.168893129770987,109,108
layer0,Non-compliance,gemini-2.5-pro,0.6538461538461539,0.627906976744186,-2.5939177101967803,2.5939177101967803,85,81
layer0,Non-compliance,gpt-4o,0.7608695652173914,0.7246376811594203,-3.6231884057971064,3.6231884057971064,105,100
layer0,Non-compliance,gpt-5,0.8823529411764706,0.8571428571428571,-2.5210084033613467,2.5210084033613467,120,114
layer0,Non-compliance,grok-4.20,0.8217054263565892,0.8181818181818182,-0.35236081747709314,0.35236081747709314,106,108
layer0,Non-compliance,llama-3.1-70b,0.7518248175182481,0.7753623188405797,2.3537501322331567,2.3537501322331567,103,107
layer0,Non-compliance,llama-3.1-8b,0.9197080291970803,0.855072463768116,-6.4635565428964314,6.4635565428964314,126,118
layer0,Non-compliance,qwen3-32b,0.6814814814814815,0.6715328467153284,-0.9948634766153042,0.9948634766153042,92,92
