comparison,pair_id,direction_reference,nc_rate_a,nc_rate_b,nc_change_pp,mean_abs_l2_diff_pp,largest_l2_shift_feature,largest_l2_shift_pp,feature_rate_a,feature_rate_b,direction_summary
size,llama-3.1-8b vs llama-3.1-70b,second model minus first model (larger - smaller),0.9195979899497487,0.7738693467336684,-14.572864321608037,2.4377262082180113,alternative_offer,6.277056277056281,0.3333333333333333,0.3961038961038961,"Large NC-rate change, small average L2-form change."
size,qwen3-8b vs qwen3-32b,second model minus first model (larger - smaller),0.6834170854271356,0.6395939086294417,-4.382317679769399,8.675393234216765,apology,47.140522875817,0.13970588235294118,0.6111111111111112,Larger Qwen model uses much more apology; size pattern is family-specific.
size,qwen3-8b-reasoning vs qwen3-32b-reasoning,second model minus first model (larger - smaller),0.6767676767676768,0.6180904522613065,-5.867722450637025,6.818160604108911,apology,44.62443878170125,0.17164179104477612,0.6178861788617886,Larger Qwen model uses much more apology; size pattern is family-specific.
reasoning,claude-opus-4.6 vs claude-opus-4.6-reasoning,second model minus first model (reasoning - standard),0.8814432989690721,0.8762886597938144,-0.5154639175257714,1.3577306766161261,normative_suggestion,4.874441004471963,0.28654970760233917,0.3352941176470588,Reasoning mode has limited observed effect on refusal form.
reasoning,gpt-5.3 vs gpt-5.3-reasoning,second model minus first model (reasoning - standard),0.8793969849246231,0.8939393939393939,1.4542409014770774,0.8783758614267103,normative_suggestion,-3.95803066989508,0.5028571428571429,0.4632768361581921,Reasoning mode has limited observed effect on refusal form.
reasoning,qwen3-8b vs qwen3-8b-reasoning,second model minus first model (reasoning - standard),0.6834170854271356,0.6767676767676768,-0.6649408659458844,1.6504018369690003,alternative_offer,-5.125109745390688,0.5661764705882353,0.5149253731343284,Reasoning mode has limited observed effect on refusal form.
reasoning,qwen3-32b vs qwen3-32b-reasoning,second model minus first model (reasoning - standard),0.6395939086294417,0.6180904522613065,-2.150345636813511,4.014413770511331,normative_suggestion,13.356562137049943,0.47619047619047616,0.6097560975609756,Reasoning increases normative suggestion most clearly for Qwen3-32B.
