Model,Mode,ImpNC,Apo,Solid,NegS,NrmS,Alt,ExAlt
Qwen3-8B,Standard,30.88235294117647,13.970588235294118,15.441176470588236,83.82352941176471,56.61764705882353,56.61764705882353,58.82352941176471
Qwen3-8B,Reasoning,33.582089552238806,17.16417910447761,15.671641791044777,84.32835820895522,60.447761194029844,51.49253731343284,57.46268656716418
Qwen3-32B,Standard,22.22222222222222,61.111111111111114,19.841269841269842,72.22222222222221,47.61904761904761,51.587301587301596,45.23809523809524
Qwen3-32B,Reasoning,26.01626016260163,61.78861788617886,18.69918699186992,81.30081300813008,60.97560975609756,53.65853658536586,52.03252032520326
Opus 4.6,Standard,0.5847953216374269,1.1695906432748537,21.052631578947366,82.45614035087719,28.654970760233915,71.34502923976608,44.44444444444444
Opus 4.6,Reasoning,0,0,24.705882352941178,83.52941176470588,33.52941176470588,68.82352941176471,44.70588235294118
GPT-5.3,Standard,2.2857142857142856,4,7.428571428571429,60.57142857142858,50.28571428571429,85.14285714285714,38.857142857142854
GPT-5.3,Reasoning,1.1299435028248588,3.389830508474576,8.47457627118644,59.32203389830508,46.32768361581921,84.7457627118644,38.983050847457626
