access,models,n_models,mean_nc_rate,explicit_nc,implicit_nc,apology,hedge,explanatory_preface,positive_alignment,solidarity,negative_stance,normative_suggestion,statement_of_principle,alternative_offer,executed_alternative,role_based
closed/proprietary,"gpt-4o, gpt-5, gpt-5.3, gpt-5.3-reasoning, claude-sonnet-3.7, claude-sonnet-4.6, claude-opus-4.6, claude-opus-4.6-reasoning, gemini-2.5-pro, grok-4.20",10,0.8275857441469021,0.9500163112792503,0.049983688720749674,0.21006675075891015,0,0.03442322872356352,0.047326327048961496,0.1582237280531448,0.6805276268383423,0.36319676009507645,0.022655002572510515,0.566053509271062,0.4176832525501511,0.08229831467002464
open-weight,"llama-3.1-8b, llama-3.1-70b, qwen3-8b, qwen3-8b-reasoning, qwen3-32b, qwen3-32b-reasoning",6,0.7185560766281629,0.7975247895276811,0.20247521047231892,0.2567241605617695,0,0.03568243741882363,0.01491930256197157,0.13168976644198935,0.5716558249821941,0.3793468626267508,0.13178847257869292,0.4771662424810779,0.37642576978940767,0.06287869170238172
