comparison,pair_id,mode,model,family,access,n_nc,implicit_nc,apology,solidarity,negative_stance,normative_suggestion,alternative_offer,executed_alternative
size,llama-3.1-8b vs llama-3.1-70b,Smaller,llama-3.1-8b,Meta,open-weight,183,0.01639344262295082,0,0.0546448087431694,0.1092896174863388,0,0.3333333333333333,0.07103825136612021
size,llama-3.1-8b vs llama-3.1-70b,Larger,llama-3.1-70b,Meta,open-weight,154,0.07142857142857142,0,0.03896103896103896,0.1038961038961039,0.01948051948051948,0.3961038961038961,0.05194805194805195
size,qwen3-8b vs qwen3-32b,Smaller,qwen3-8b,Qwen,open-weight,136,0.3088235294117647,0.13970588235294118,0.15441176470588236,0.8382352941176471,0.5661764705882353,0.5661764705882353,0.5882352941176471
size,qwen3-8b vs qwen3-32b,Larger,qwen3-32b,Qwen,open-weight,126,0.2222222222222222,0.6111111111111112,0.1984126984126984,0.7222222222222222,0.47619047619047616,0.5158730158730159,0.4523809523809524
size,qwen3-8b-reasoning vs qwen3-32b-reasoning,Smaller,qwen3-8b-reasoning,Qwen,open-weight,134,0.3358208955223881,0.17164179104477612,0.15671641791044777,0.8432835820895522,0.6044776119402985,0.5149253731343284,0.5746268656716418
size,qwen3-8b-reasoning vs qwen3-32b-reasoning,Larger,qwen3-32b-reasoning,Qwen,open-weight,123,0.2601626016260163,0.6178861788617886,0.18699186991869918,0.8130081300813008,0.6097560975609756,0.5365853658536586,0.5203252032520326
