Model,Mode,n_total,n_nc,FC,NC,Bare,Eth,Pol
Qwen3-8B,Standard,199,136,24.623115577889447,68.34170854271356,6.61764705882353,86.76470588235294,5.88235294117647
Qwen3-8B,Reasoning,198,134,23.737373737373737,67.67676767676768,6.7164179104477615,87.31343283582089,5.970149253731343
Qwen3-32B,Standard,197,126,31.472081218274113,63.95939086294417,18.253968253968253,75.39682539682539,5.555555555555555
Qwen3-32B,Reasoning,199,123,32.663316582914575,61.80904522613066,8.94308943089431,82.92682926829268,8.130081300813007
Opus 4.6,Standard,194,171,10.309278350515463,88.14432989690721,4.093567251461988,91.81286549707602,3.508771929824561
Opus 4.6,Reasoning,194,170,10.824742268041238,87.62886597938144,1.7647058823529411,91.17647058823529,5.294117647058823
GPT-5.3,Standard,199,175,7.537688442211055,87.93969849246231,9.142857142857142,86.85714285714286,3.428571428571429
GPT-5.3,Reasoning,198,177,7.07070707070707,89.39393939393939,14.689265536723164,80.22598870056498,4.519774011299435
